path,group_name,group_type
/Users/gdwha/Downloads/exports/ep24__oucb__followers_0418.csv,Chemistry and Biochemistry Society,society
/Users/gdwha/Downloads/exports/ep24_alexandriaclassicsjournal_followers_0416.csv,Alexandria Classics Journal,society
/Users/gdwha/Downloads/exports/ep24_beesocatox_followers_0416.csv,Beekeeping Society,society
/Users/gdwha/Downloads/exports/ep24_chosenoxford_followers_0418.csv,Chosen Christian Fellowship,society
/Users/gdwha/Downloads/exports/ep24_esportssociety_followers_0418.csv,Gaming and Esports Society,society
/Users/gdwha/Downloads/exports/ep24_europeanist_oxford_followers_0418.csv,Europeanist Society,society
/Users/gdwha/Downloads/exports/ep24_ewb_ox_followers_0418.csv,Engineers Without Borders,society
/Users/gdwha/Downloads/exports/ep24_exvacoxford_followers_0418.csv,ExVac,society
/Users/gdwha/Downloads/exports/ep24_gcf_oxford_followers_0418.csv,Graduate Christian Forum,society
/Users/gdwha/Downloads/exports/ep24_indiefridaysoxford_following_0415.csv,Indie Fridays,society
/Users/gdwha/Downloads/exports/ep24_ouanimesociety_followers_0416.csv,Anime Society,society
/Users/gdwha/Downloads/exports/ep24_ouaps_followers_0416.csv,Asia-Pacific Society,society
/Users/gdwha/Downloads/exports/ep24_oucolombiansociety_followers_0418.csv,Colombian Society,society
/Users/gdwha/Downloads/exports/ep24_oucs_official_followers_0418.csv,Chinese Society,society
/Users/gdwha/Downloads/exports/ep24_oucssoxford_followers_0418.csv,Czech and Slovak Society,society
/Users/gdwha/Downloads/exports/ep24_oudancesociety_followers_0418.csv,Dance Society,society
/Users/gdwha/Downloads/exports/ep24_ouffox_followers_0418.csv,Filmmaking Foundation,society
/Users/gdwha/Downloads/exports/ep24_ourfc_blues_followers_0416.csv,Rugby Union,sport
/Users/gdwha/Downloads/exports/ep24_ouscr_followers_0417.csv,Change Ringers Society,society
/Users/gdwha/Downloads/exports/ep24_oxaisociety_followers_0416.csv,Artifical Intelligence Society (OxAI),society
/Users/gdwha/Downloads/exports/ep24_oxalts_followers_0416.csv,Alternotives,society
/Users/gdwha/Downloads/exports/ep24_oxargsoc_followers_0416.csv,Argentina Society,society
/Users/gdwha/Downloads/exports/ep24_oxcompsoc_followers_0418.csv,Computing and Technology Society,society
/Users/gdwha/Downloads/exports/ep24_oxentomologysoc_followers_0418.csv,Entomology Society,society
/Users/gdwha/Downloads/exports/ep24_oxfashionsoc_followers_0418.csv,Fashion Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_byzantine_followers_0417.csv,Byzantine Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_diplomatic_society_followers_0418.csv,Diplomatic Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_uni_wine_followers_0416.csv,Bacchus Wine Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordafgsoc_followers_0416.csv,Afghanistan Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordafrica_followers_0416.csv,Africa Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordamericansoc_followers_0416.csv,American Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordausociety_followers_0416.csv,Austrian Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordbioengineeringsociety_followers_0416.csv,Bioengineering Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordbiohackingsoc_followers_0417.csv,Biohacking Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordbiosoc_followers_0417.csv,Biological Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordblindtasting_followers_0417.csv,Blind Tasting Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordbraziliansociety_followers_0417.csv,Brazilian Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordchabadsociety_followers_0417.csv,Chabad Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordcommoditiessoc_followers_0418.csv,Commodities Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordenergysoc_followers_0418.csv,Energy Society,society
