name,label
"Harri",person
"Horizons: OxWEST’s 2026 Conference",not_person
"Samwel",person
"Hope Ableton Pahlavi",person
"Rare Form Oxford",not_person
"Gerald Munashe Munetsi",person
"Summer",person
"Maria Vitória Barbosa A. Araújo",person
"Jose Rivero",person
"The Spires Cafe & Restaurant | Oxford",not_person
"sema hailott7",person
"Nimay Gupta",person
"Daniel Zhang",person
"Adarsh Mishra",person
"Blue Berry",person
"Nisan Kaynar",person
"Oxbridge Varsity Hackathon",not_person
"מונג אן אל",person
"Oxford CS Graduate Society",not_person
"Beyzanur Albayrak",person
"Theo Prowse",person
"Denny",person
"Bobo",person
"Sahar",person
"maca",person
"Jacky Ye   1%",person
"Esti Cohen💟",person
"Dominykas",person
"Will Yu",person
"Emily Tan 🐓🍀",person
"Flo",person
"Anne",person
"ellie",person
"ariana",person
"Pascale",person
"Alex Mann",person
"sophia 🧿",person
"s.l",person
"Do El Nau",person
"Kelvin Cheung",person
"Patrick van Hoof",person
"Nakshatra",person
"chiarapezzotti",person
"Arch Oxford",not_person
"Alfie Baker",person
"Nazifa at Oxford",person
"OxideOne",not_person
"raheelahmad748",person
"chan",person
"Vuslat Aslan",person
"Zesang Li",person
"harrish",person
"Raymond Wu",person
"oustemball",person
"ellis vg",person
"Lola",person
"Rajas Ketkar",person
"Catalyst Oxford",not_person
"lyss.",person
"Alyssa",person
"tilly black",person
"Theo",person
"Qizheng Li",person
"7vii",person
"Wantoe T. Wantoe",person
"Alex Tollit",person
"Marcus",person
"Nihal F T Ahmed",person
"Светлана",person
"Nic",person
"Lindsey Park",person
"Z",person
"Ben",person
"higjlg",person
"Oxford AI Society",not_person
"AstaR",person
"Lucy Baines",person
"Viraja Gurrapu",person
"zara",person
"M S",person
"Alex Gough",person
"Pawel Grab",person
"Thomas Harden",person
"Beth Tegg",person
"priy anka",person
"Ruby",person
"fraudulent nook",person
"doug",person
"Joyce Yang",person
"Veronika Ilinceva",person
"Lily Palmer",person
"Alyssa",person
"Freddie",person
"Lisa🤎🧸",person
"Nucleate Podcast",not_person
"Ethan Kropf",person
"dow",person
"emma",person
"tom",person
"daniel :)",person
"Winny Li",person
"Charlotte",person
"মেঘদূত",person
"Maddie",person
"Flaminia Muratori",person
"Alfie",person
"Jonathan Garrity",person
"Hans",person
"dia",person
"🅾️🛏... i think",person
"marta<3",person
"em",person
"David Theodor Nimrichtr",person
"coolgirloffduty",person
"Natalia Wachowska",person
"Leo Kraljević",person
"Michael",person
"Emily",person
"Scarlett 🔅",person
"Flo",person
"Yutong;)",person
"Jingwen",person
"Eva Tzachili",person
"Min",person
"Syallom Gita",person
"Ellie Rothman",person
"George Waller",person
"eva",person
"Rosie",person
"Aoife McLoughlin",person
"emma 🤍",person
"James",person
"🐊",person
"maïsa",person
"ava!!",person
"Josh Wise",person
"Henry Young",person
"Suthichai Srihawan",person
"frankiiee",person
"Aidan Lam",person
"Evan Foulkes",person
"épée",person
"josie✩",person
"Austin Mitchell",person
"Sonja!",person
"Albert Cooper Wedge",person
"Alicia",person
"adamisnotabuster",person
"Oliver Masters",person
"Anna",person
"Tuguldur Zolzaya 🫡",person
"elena🪐",person
"nicola 🦦🪸🫧🪭🐦🔥🫐🍭",person
"Sophia",person
"Efe Ali Görgüner",person
"Angelina Chan",person
"Oscar",person
"usman • עثمان",person
"Michael Wu",person
"Elinor xx",person
"gheqin",person
"elleedavidsonn",person
"Rafe Harding",person
"Seoyun Bae",person
"Eleanor",person
"mia",person
"molly",person
"Sophia MacMid",person
"Janet Wang",person
"amelia",person
"Oxford Toast Club",not_person
"Zoe Stark",person
"Coco",person
